"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
23,2021-05-12,6.872,"2_after watering","no",4.43329,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
23,2021-05-17,6.279,"1_before watering","no",4.43329,2,"ambient","drought","yes",593,5,118.6,"no",75.3333333333333,NA
23,2021-05-20,5.914,"1_before watering","no",4.43329,2,"ambient","drought","yes",365,3,121.666666666667,"no",75.3333333333333,NA
23,2021-05-24,5.653,"1_before watering","no",4.43329,2,"ambient","drought","yes",261,4,65.25,"no",75.3333333333333,NA
23,2021-05-27,5.5275,"1_before watering","no",4.43329,2,"ambient","drought","yes",125.5,3,41.8333333333332,"no",75.3333333333333,NA
24,2021-04-29,7.3195,"2_after watering","no",4.64498,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
24,2021-05-03,7.09833333333333,"1_before watering","no",4.64498,2,"ambient","drought","yes",198.666666666667,4,NA,"yes",49.6666666666667,NA
24,2021-05-03,7.297,"2_after watering","no",4.64498,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
24,2021-05-06,7.148,"1_before watering","no",4.64498,2,"ambient","drought","yes",149,3,49.6666666666667,"no",49.6666666666667,NA
24,2021-05-06,7.3705,"2_after watering","no",4.64498,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
24,2021-05-07,7.2885,"1_before watering","no",4.64498,2,"ambient","drought","yes",81.9999999999999,1,81.9999999999999,"no",49.6666666666667,NA
24,2021-05-10,7.14,"1_before watering","no",4.64498,2,"ambient","drought","yes",148.5,3,49.5000000000001,"no",49.6666666666667,NA
24,2021-05-10,7.3935,"2_after watering","no",4.64498,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
24,2021-05-12,7.243,"1_before watering","no",4.64498,2,"ambient","drought","yes",150.5,2,75.25,"no",49.6666666666667,NA
24,2021-05-12,7.475,"2_after watering","no",4.64498,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
24,2021-05-17,7.075,"1_before watering","no",4.64498,2,"ambient","drought","yes",399.999999999999,5,79.9999999999999,"no",49.6666666666667,NA
24,2021-05-20,6.763,"1_before watering","no",4.64498,2,"ambient","drought","yes",312,3,104,"no",49.6666666666667,NA
24,2021-05-24,6.449,"1_before watering","no",4.64498,2,"ambient","drought","yes",314,4,78.5,"no",49.6666666666667,NA
