id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
31,06/06/2021,NA,1_before watering,4.46794,2,ambient,control,yes
31,06/06/2021,NA,2_after watering,4.46794,2,ambient,control,yes
31,07/06/2021,6.1105,1_before watering,4.46794,2,ambient,control,yes
33,29/04/2021,6.2685,2_after watering,3.8724,2,ambient,drought,yes
33,03/05/2021,NA,1_before watering,3.8724,2,ambient,drought,yes
33,03/05/2021,6.264,2_after watering,3.8724,2,ambient,drought,yes
33,06/05/2021,6.0115,1_before watering,3.8724,2,ambient,drought,yes
33,06/05/2021,6.3345,2_after watering,3.8724,2,ambient,drought,yes
33,07/05/2021,6.277,1_before watering,3.8724,2,ambient,drought,yes
33,10/05/2021,5.832,1_before watering,3.8724,2,ambient,drought,yes
33,10/05/2021,6.22,2_after watering,3.8724,2,ambient,drought,yes
33,12/05/2021,5.8785,1_before watering,3.8724,2,ambient,drought,yes
33,12/05/2021,6.3015,2_after watering,3.8724,2,ambient,drought,yes
33,17/05/2021,5.6115,1_before watering,3.8724,2,ambient,drought,yes
33,20/05/2021,5.247,1_before watering,3.8724,2,ambient,drought,yes
33,24/05/2021,4.9949,1_before watering,3.8724,2,ambient,drought,yes
33,27/05/2021,4.893,1_before watering,3.8724,2,ambient,drought,yes
35,30/04/2021,6.618,2_after watering,4.03387,1,elevated,drought,yes
35,04/05/2021,6.413,1_before watering,4.03387,1,elevated,drought,yes
35,04/05/2021,6.618,2_after watering,4.03387,1,elevated,drought,yes
35,07/05/2021,6.492,1_before watering,4.03387,1,elevated,drought,yes
35,07/05/2021,6.664,2_after watering,4.03387,1,elevated,drought,yes
35,10/05/2021,6.5025,1_before watering,4.03387,1,elevated,drought,yes
35,10/05/2021,6.7015,2_after watering,4.03387,1,elevated,drought,yes
35,13/05/2021,6.4855,1_before watering,4.03387,1,elevated,drought,yes
35,13/05/2021,6.6945,2_after watering,4.03387,1,elevated,drought,yes
35,17/05/2021,6.5375,1_before watering,4.03387,1,elevated,drought,yes
35,20/05/2021,6.257,1_before watering,4.03387,1,elevated,drought,yes
35,24/05/2021,5.934,1_before watering,4.03387,1,elevated,drought,yes
35,27/05/2021,5.656,1_before watering,4.03387,1,elevated,drought,yes
41,29/04/2021,6.5085,2_after watering,4.02709,2,ambient,drought,yes
41,03/05/2021,NA,1_before watering,4.02709,2,ambient,drought,yes
41,03/05/2021,6.5005,2_after watering,4.02709,2,ambient,drought,yes
41,06/05/2021,6.404,1_before watering,4.02709,2,ambient,drought,yes
41,06/05/2021,6.561,2_after watering,4.02709,2,ambient,drought,yes
41,07/05/2021,6.511,1_before watering,4.02709,2,ambient,drought,yes
41,10/05/2021,6.389,1_before watering,4.02709,2,ambient,drought,yes
41,10/05/2021,6.5875,2_after watering,4.02709,2,ambient,drought,yes
41,12/05/2021,6.4905,1_before watering,4.02709,2,ambient,drought,yes
41,12/05/2021,6.675,2_after watering,4.02709,2,ambient,drought,yes
41,17/05/2021,6.3415,1_before watering,4.02709,2,ambient,drought,yes
41,20/05/2021,6.092,1_before watering,4.02709,2,ambient,drought,yes
41,24/05/2021,5.774,1_before watering,4.02709,2,ambient,drought,yes
41,27/05/2021,5.587,1_before watering,4.02709,2,ambient,drought,yes
42,29/04/2021,6.6465,2_after watering,4.0928,2,ambient,control,yes
42,03/05/2021,NA,1_before watering,4.0928,2,ambient,control,yes
42,03/05/2021,6.625,2_after watering,4.0928,2,ambient,control,yes
42,06/05/2021,6.392,1_before watering,4.0928,2,ambient,control,yes
42,06/05/2021,6.6785,2_after watering,4.0928,2,ambient,control,yes
42,07/05/2021,6.62,1_before watering,4.0928,2,ambient,control,yes
42,10/05/2021,6.312,1_before watering,4.0928,2,ambient,control,yes
42,10/05/2021,6.6685,2_after watering,4.0928,2,ambient,control,yes
42,13/05/2021,6.316,1_before watering,4.0928,2,ambient,control,yes
42,13/05/2021,6.6435,2_after watering,4.0928,2,ambient,control,yes
42,17/05/2021,6.1615,1_before watering,4.0928,2,ambient,control,yes
42,17/05/2021,6.545,2_after watering,4.0928,2,ambient,control,yes
42,20/05/2021,6.188,1_before watering,4.0928,2,ambient,control,yes
42,20/05/2021,6.575,2_after watering,4.0928,2,ambient,control,yes
42,24/05/2021,6.099,1_before watering,4.0928,2,ambient,control,yes
42,24/05/2021,6.473,2_after watering,4.0928,2,ambient,control,yes
42,27/05/2021,6.049,1_before watering,4.0928,2,ambient,control,yes
42,27/05/2021,6.4265,2_after watering,4.0928,2,ambient,control,yes
42,31/05/2021,5.924,1_before watering,4.0928,2,ambient,control,yes
42,31/05/2021,6.3,2_after watering,4.0928,2,ambient,control,yes
42,01/06/2021,6.1915,1_before watering,4.0928,2,ambient,control,yes
46,30/04/2021,6.661,2_after watering,4.03515,1,elevated,drought,yes
46,04/05/2021,6.5345,1_before watering,4.03515,1,elevated,drought,yes
46,04/05/2021,6.6505,2_after watering,4.03515,1,elevated,drought,yes
46,07/05/2021,6.5745,1_before watering,4.03515,1,elevated,drought,yes
46,07/05/2021,6.699,2_after watering,4.03515,1,elevated,drought,yes
