"phytotron","ID_plant","water_treatment1","water_treatment","date_i","height_cm_i","stem_width_1_cm_i","stem_width_2_cm_i","branching_i","date_f","height_cm_f","stem_width_1_cm_f","stem_width_2_cm_f","branching_f","OBS","Date_i","Date_f","n_days"
2,103,"control","control",20210420,125,1.04,1.03,15,20210518,127,1.06,1.17,16,"destructive harvest",2021-04-20,2021-05-18,28
1,104,"drought","drought",20210420,134,1.24,1.23,18,20210527,137,1.54,1.51,18,"destructive harvest",2021-04-20,2021-05-27,37
1,105,"drought","drought",20210420,124.5,0.94,0.92,20,20210608,123,1.31,1.14,20,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,106,"drought","drought",20210420,111,1.27,1.41,21,20210519,121,1.35,1.48,21,"destructive harvest",2021-04-20,2021-05-19,29
2,107,"drought","drought",20210420,106,1.44,1.48,22,20210602,107,1.68,1.57,20,"destructive harvest",2021-04-20,2021-06-02,43
2,108,"drought","drought",20210420,126,1.22,1.29,24,20210608,125,1.43,1.39,23,"Final measurement, not harvested",2021-04-20,2021-06-08,49
2,109,"control","control",20210420,122,1.61,1.49,22,20210518,121,1.59,1.62,24,"destructive harvest",2021-04-20,2021-05-18,28
2,110,"control","control",20210420,135,1.44,1.36,23,20210606,136,1.62,1.54,21,"destructive harvest",2021-04-20,2021-06-06,47
1,111,"control","control",20210420,118,1.21,1.17,18,20210603,119,1.22,1.41,19,"destructive harvest",2021-04-20,2021-06-03,44
1,112,"drought","drought",20210420,130.5,1.65,1.64,25,20210603,126,1.77,1.71,27,"destructive harvest",2021-04-20,2021-06-03,44
1,113,"control","control",20210420,126,1.45,1.49,22,20210608,127,1.74,1.7,22,"Final measurement, not harvested",2021-04-20,2021-06-08,49
1,114,"control","control",20210420,107.5,1.35,1.3,21,20210610,117,1.6,1.56,23,"destructive harvest",2021-04-20,2021-06-10,51
1,115,"drought","drought",20210420,114,1.45,1.34,18,NA,NA,NA,NA,NA,NA,2021-04-20,NA,NA
2,116,"drought","drought",20210420,111,1.09,1.11,21,20210608,111,1.19,1.19,20,"destructive harvest",2021-04-20,2021-06-08,49
1,117,"control","control",20210420,116,1.16,1.2,18,20210608,122,1.47,1.46,25,"Final measurement, not harvested",2021-04-20,2021-06-08,49
1,118,"control","control",20210420,115,1.03,1.02,21,20210518,122,1.23,1.22,23,"destructive harvest",2021-04-20,2021-05-18,28
1,119,"control","control",20210420,128,1.4,1.35,25,20210525,130,1.54,1.54,26,"destructive harvest",2021-04-20,2021-05-25,35
1,120,"control","control",20210420,110.5,1.15,1.2,24,20210525,111,1.35,1.35,27,"destructive harvest",2021-04-20,2021-05-25,35
