"ID_plant","N_days_w","campaign","CO2","water_treatment","rwc","leafID","FW","SW","DW","diff","maxDiff","isMax"
58,7,5,"elevated","moderate drought",0.989457831325301,"C",0.1281,0.1288,0.0624,0.000700000000000006,0.0047,"no"
61,1,5,"elevated","control",0.972644376899696,"A",0.1819,0.1846,0.0859,0.00269999999999998,0.00269999999999998,"yes"
61,1,5,"elevated","control",0.991539763113367,"B",0.2241,0.2251,0.1069,0.001,0.00269999999999998,"no"
61,1,5,"elevated","control",0.980211081794195,"C",0.1403,0.1418,0.066,0.0015,0.00269999999999998,"no"
63,1,1,"ambient","control",0.942379182156134,"A",0.1778,0.184,0.0764,0.00619999999999998,0.00720000000000004,"no"
63,1,1,"ambient","control",0.963483146067416,"B",0.1204,0.123,0.0518,0.00260000000000001,0.00720000000000004,"no"
63,1,1,"ambient","control",0.951935914552737,"C",0.2507,0.2579,0.1081,0.00720000000000004,0.00720000000000004,"yes"
64,1,5,"ambient","control",0.988636363636364,"A",0.1799,0.181,0.0842,0.00109999999999999,0.00189999999999999,"no"
64,1,5,"ambient","control",0.978443113772455,"B",0.1524,0.1542,0.0707,0.0018,0.00189999999999999,"no"
64,1,5,"ambient","control",0.979936642027455,"C",0.1703,0.1722,0.0775,0.00189999999999999,0.00189999999999999,"yes"
65,1,3,"ambient","control",0.958904109589041,"A",0.1241,0.1271,0.0541,0.00299999999999999,0.00299999999999999,"yes"
65,1,3,"ambient","control",0.968363136176066,"B",0.1277,0.13,0.0573,0.0023,0.00299999999999999,"no"
65,1,3,"ambient","control",0.973684210526316,"C",0.1146,0.1163,0.0517,0.00170000000000001,0.00299999999999999,"no"
67,1,1,"elevated","control",0.904977375565611,"A",0.1481,0.1565,0.0681,0.00839999999999999,0.0144,"no"
67,1,1,"elevated","control",0.839106145251397,"B",0.139,0.1534,0.0639,0.0144,0.0144,"yes"
67,1,1,"elevated","control",0.906685236768802,"C",0.1201,0.1268,0.055,0.0067,0.0144,"no"
68,1,4,"elevated","control",0.976811594202898,"A",0.1359,0.1375,0.0685,0.00160000000000002,0.00160000000000002,"yes"
68,1,4,"elevated","control",0.979591836734694,"B",0.1443,0.1458,0.0723,0.0015,0.00160000000000002,"no"
68,1,4,"elevated","control",0.971171171171171,"C",0.1039,0.1055,0.05,0.00159999999999999,0.00160000000000002,"no"
69,14,3,"elevated","drought",0.975757575757576,"A",0.1273,0.1289,0.0629,0.00159999999999999,0.0016,"no"
69,14,3,"elevated","drought",0.971014492753623,"B",0.1076,0.1092,0.054,0.0016,0.0016,"yes"
69,14,3,"elevated","drought",0.97196261682243,"C",0.0826,0.0838,0.041,0.00119999999999999,0.0016,"no"
70,1,2,"elevated","control",0.914814814814815,"A",0.1368,0.1437,0.0627,0.00689999999999999,0.00689999999999999,"yes"
70,1,2,"elevated","control",0.955882352941177,"B",0.1463,0.1499,0.0683,0.00359999999999999,0.00689999999999999,"no"
70,1,2,"elevated","control",0.944858420268256,"C",0.12,0.1237,0.0566,0.00370000000000001,0.00689999999999999,"no"
72,1,1,"elevated","control",0.863586358635864,"A",0.1439,0.1563,0.0654,0.0124,0.0124,"yes"
72,1,1,"elevated","control",0.874324324324324,"B",0.1217,0.131,0.057,0.0093,0.0124,"no"
72,1,1,"elevated","control",0.894472361809045,"C",0.1338,0.1422,0.0626,0.00839999999999999,0.0124,"no"
75,15,3,"ambient","drought",NA,"A",NA,NA,NA,NA,-Inf,NA
75,15,3,"ambient","drought",NA,"B",NA,NA,NA,NA,-Inf,NA
75,15,3,"ambient","drought",NA,"C",NA,NA,NA,NA,-Inf,NA
77,21,4,"ambient","drought",0.940828402366864,"A",0.094,0.097,0.0463,0.003,0.00319999999999999,"no"
77,21,4,"ambient","drought",0.969818913480885,"B",0.0954,0.0969,0.0472,0.0015,0.00319999999999999,"no"
77,21,4,"ambient","drought",0.908045977011494,"C",0.061,0.0642,0.0294,0.00319999999999999,0.00319999999999999,"yes"
80,1,5,"ambient","control",0.96875,"A",0.0965,0.0983,0.0407,0.0018,0.00349999999999999,"no"
80,1,5,"ambient","control",0.942528735632184,"B",0.1044,0.1079,0.047,0.00349999999999999,0.00349999999999999,"yes"
80,1,5,"ambient","control",0.977653631284916,"C",0.0954,0.0966,0.0429,0.00120000000000001,0.00349999999999999,"no"
81,7,5,"ambient","moderate drought",0.965957446808511,"A",0.138,0.1404,0.0699,0.00239999999999999,0.0043,"no"
81,7,5,"ambient","moderate drought",0.9375,"B",0.1238,0.1281,0.0593,0.0043,0.0043,"yes"
81,7,5,"ambient","moderate drought",0.938811188811189,"C",0.1036,0.1071,0.0499,0.0035,0.0043,"no"
84,1,1,"ambient","control",NA,"A",0.2493,NA,0.1104,NA,0.00650000000000001,NA
84,1,1,"ambient","control",0.94367417677643,"B",0.1936,0.2001,0.0847,0.00650000000000001,0.00650000000000001,"yes"
84,1,1,"ambient","control",0.94429347826087,"C",0.1247,0.1288,0.0552,0.00409999999999999,0.00650000000000001,"no"
85,7,2,"elevated","drought",0.864262990455991,"A",0.1588,0.1716,0.0773,0.0128,0.0132,"no"
85,7,2,"elevated","drought",0.855421686746988,"B",0.1505,0.1637,0.0724,0.0132,0.0132,"yes"
85,7,2,"elevated","drought",0.959858323494687,"C",0.1586,0.162,0.0773,0.00340000000000001,0.0132,"no"
86,1,3,"ambient","control",0.958715596330275,"A",0.2578,0.2641,0.1115,0.00630000000000003,0.00630000000000003,"yes"
86,1,3,"ambient","control",0.961007311129163,"B",0.208,0.2128,0.0897,0.0048,0.00630000000000003,"no"
86,1,3,"ambient","control",0.965262379896526,"C",0.2233,0.228,0.0927,0.00470000000000001,0.00630000000000003,"no"
87,1,1,"elevated","control",0.792921686746988,"A",0.1942,0.2217,0.0889,0.0275,0.0275,"yes"
87,1,1,"elevated","control",0.783171521035599,"B",0.1807,0.2075,0.0839,0.0268,0.0275,"no"
87,1,1,"elevated","control",0.85472972972973,"C",0.1853,0.2025,0.0841,0.0172,0.0275,"no"
88,1,3,"ambient","control",0.951219512195122,"A",0.1092,0.1122,0.0507,0.00299999999999999,0.004,"no"
88,1,3,"ambient","control",0.941520467836257,"B",0.1225,0.1265,0.0581,0.004,0.004,"yes"
88,1,3,"ambient","control",0.952471482889734,"C",0.0953,0.0978,0.0452,0.0025,0.004,"no"
89,1,5,"elevated","control",0.978571428571429,"A",0.1387,0.1402,0.0702,0.0015,0.0016,"no"
89,1,5,"elevated","control",0.971563981042654,"B",0.0831,0.0843,0.0421,0.00120000000000001,0.0016,"no"
89,1,5,"elevated","control",0.967871485943775,"C",0.096,0.0976,0.0478,0.0016,0.0016,"yes"
92,7,2,"ambient","drought",0.910533910533911,"A",0.1194,0.1256,0.0563,0.00619999999999998,0.00619999999999998,"yes"
92,7,2,"ambient","drought",0.949784791965567,"B",0.1076,0.1111,0.0414,0.0035,0.00619999999999998,"no"
92,7,2,"ambient","drought",0.924242424242424,"C",0.1014,0.1059,0.0465,0.00449999999999999,0.00619999999999998,"no"
93,7,5,"elevated","moderate drought",0.982332155477032,"A",0.2212,0.2232,0.11,0.002,0.002,"yes"
93,7,5,"elevated","moderate drought",0.981840193704601,"B",0.161,0.1625,0.0799,0.0015,0.002,"no"
93,7,5,"elevated","moderate drought",1,"C",0.0844,0.0844,0.0421,0,0.002,"no"
95,1,1,"ambient","control",0.984009840098401,"A",0.1382,0.1395,0.0582,0.00130000000000002,0.00130000000000002,"yes"
95,1,1,"ambient","control",0.979719188767551,"B",0.1079,0.1092,0.0451,0.00130000000000001,0.00130000000000002,"no"
95,1,1,"ambient","control",0.97741273100616,"C",0.0835,0.0846,0.0359,0.00109999999999999,0.00130000000000002,"no"
96,1,3,"elevated","control",0.958115183246073,"A",0.2329,0.2385,0.1048,0.00559999999999999,0.00559999999999999,"yes"
96,1,3,"elevated","control",0.96969696969697,"B",0.2026,0.206,0.0938,0.00339999999999999,0.00559999999999999,"no"
96,1,3,"elevated","control",0.970017636684304,"C",0.2073,0.2107,0.0973,0.00339999999999999,0.00559999999999999,"no"
97,14,3,"ambient","drought",0.965798045602606,"A",0.11,0.1121,0.0507,0.0021,0.005,"no"
97,14,3,"ambient","drought",0.955844155844156,"B",0.1336,0.137,0.06,0.00340000000000001,0.005,"no"
97,14,3,"ambient","drought",0.929078014184397,"C",0.1195,0.1245,0.054,0.005,0.005,"yes"
98,7,2,"ambient","drought",0.932599724896836,"A",0.1231,0.128,0.0553,0.0049,0.0049,"yes"
98,7,2,"ambient","drought",0.972027972027972,"B",0.1224,0.1244,0.0529,0.002,0.0049,"no"
98,7,2,"ambient","drought",0.934453781512605,"C",0.1007,0.1046,0.0451,0.0039,0.0049,"no"
99,14,3,"ambient","drought",0.952380952380953,"A",0.1458,0.1498,0.0658,0.00399999999999998,0.004,"no"
99,14,3,"ambient","drought",0.955266955266955,"B",0.12,0.1231,0.0538,0.00310000000000001,0.004,"no"
99,14,3,"ambient","drought",0.945872801082544,"C",0.1296,0.1336,0.0597,0.004,0.004,"yes"
100,14,3,"ambient","drought",0.874734607218684,"A",0.0786,0.0845,0.0374,0.0059,0.0063,"no"
100,14,3,"ambient","drought",0.876712328767123,"B",0.0874,0.0937,0.0426,0.0063,0.0063,"yes"
100,14,3,"ambient","drought",0.945454545454545,"C",0.065,0.0671,0.0286,0.0021,0.0063,"no"
101,21,4,"elevated","drought",0.936781609195402,"A",0.1859,0.1925,0.0881,0.00659999999999999,0.00659999999999999,"yes"
101,21,4,"elevated","drought",0.930924548352816,"B",0.166,0.1725,0.0784,0.00649999999999998,0.00659999999999999,"no"
101,21,4,"elevated","drought",0.937669376693767,"C",0.1332,0.1378,0.064,0.00459999999999999,0.00659999999999999,"no"
102,14,3,"ambient","drought",NA,"A",0.535,NA,0.0751,NA,0.00269999999999998,NA
102,14,3,"ambient","drought",0.963503649635036,"B",0.1253,0.1278,0.0593,0.0025,0.00269999999999998,"no"
102,14,3,"ambient","drought",0.968009478672986,"C",0.1539,0.1566,0.0722,0.00269999999999998,0.00269999999999998,"yes"
103,1,2,"ambient","control",0.920440636474908,"A",0.1385,0.145,0.0633,0.00649999999999998,0.00649999999999998,"yes"
103,1,2,"ambient","control",0.901724137931035,"B",0.0965,0.1022,0.0442,0.0057,0.00649999999999998,"no"
103,1,2,"ambient","control",0.949253731343283,"C",0.1148,0.1182,0.0512,0.0034,0.00649999999999998,"no"
104,14,3,"elevated","drought",0.974619289340101,"A",0.1437,0.1457,0.0669,0.002,0.002,"yes"
104,14,3,"elevated","drought",0.976887519260401,"B",0.1202,0.1217,0.0568,0.0015,0.002,"no"
104,14,3,"elevated","drought",0.986238532110092,"C",0.1229,0.1238,0.0584,0.000899999999999998,0.002,"no"
106,7,2,"ambient","drought",0.930232558139535,"A",0.0993,0.1035,0.0433,0.0042,0.0054,"no"
106,7,2,"ambient","drought",0.924686192468619,"B",0.1159,0.1213,0.0496,0.0054,0.0054,"yes"
106,7,2,"ambient","drought",0.939114391143911,"C",0.0877,0.091,0.0368,0.0033,0.0054,"no"
107,21,4,"ambient","drought",0.954727030625832,"A",0.1254,0.1288,0.0537,0.00339999999999999,0.00339999999999999,"yes"
107,21,4,"ambient","drought",0.962962962962963,"B",0.1202,0.1228,0.0526,0.00260000000000001,0.00339999999999999,"no"
107,21,4,"ambient","drought",0.950819672131147,"C",0.103,0.106,0.045,0.003,0.00339999999999999,"no"
109,1,2,"ambient","control",0.942857142857143,"A",0.1285,0.1327,0.0592,0.00420000000000001,0.00520000000000001,"no"
109,1,2,"ambient","control",0.986376021798365,"B",0.1322,0.1332,0.0598,0.001,0.00520000000000001,"no"
109,1,2,"ambient","control",0.925179856115108,"C",0.1175,0.1227,0.0532,0.00520000000000001,0.00520000000000001,"yes"
110,1,4,"ambient","control",0.958847736625514,"A",0.1727,0.1767,0.0795,0.004,0.0048,"no"
110,1,4,"ambient","control",0.954716981132075,"B",0.1415,0.1451,0.0656,0.00360000000000002,0.0048,"no"
110,1,4,"ambient","control",0.947655398037077,"C",0.1593,0.1641,0.0724,0.0048,0.0048,"yes"
111,1,4,"elevated","control",0.975967957276369,"A",0.1449,0.1467,0.0718,0.0018,0.0018,"yes"
111,1,4,"elevated","control",0.993311036789298,"B",0.1181,0.1185,0.0587,0.000399999999999998,0.0018,"no"
111,1,4,"elevated","control",0.974789915966387,"C",0.1142,0.1157,0.0562,0.0015,0.0018,"no"
112,21,4,"elevated","drought",0.93448275862069,"A",0.1606,0.1663,0.0793,0.00570000000000001,0.00570000000000001,"yes"
112,21,4,"elevated","drought",0.945662535748332,"B",0.1903,0.196,0.0911,0.00570000000000001,0.00570000000000001,"yes"
