phytotron,ID_plant,water_treatment1,water_treatment,date_i,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_stem_width_mean,initial_branching,initial_r^2,initial_vol,date_f,height_cm,stem_width_1_cm,stem_width_2_cm,stem_width_mean,branching,r^2,vol,OBS,n_days,diff_vol,diff_vol_corrections,DAYS_diff_vol_corrections
2,41,drought,drought,20210420,99,1.04,1,1.02,21,0.2601,26.96523222,20210527,101,1,1.16,1.08,20,0.2916,30.8416434,destructive harvest,37,3.876411175,3.876411175,0.10476787
2,75,drought,drought,20210420,124,1.23,1.14,1.185,27,0.35105625,45.58553042,20210527,118,1.24,1.29,1.265,22,0.40005625,49.43467519,destructive harvest,37,3.849144769,3.849144769,0.10403094
2,28,drought,drought,20210420,126,1.66,1.58,1.62,24,0.6561,86.57035548,20210602,126,1.72,1.6,1.66,21,0.6889,90.89821352,destructive harvest,43,4.32785804,4.32785804,0.100647861
2,77,drought,drought,20210420,108,1.38,1.41,1.395,22,0.48650625,55.02256059,20210602,109,1.54,1.45,1.495,21,0.55875625,63.77897126,destructive harvest,43,8.756410669,8.756410669,0.203637457
2,107,drought,drought,20210420,106,1.44,1.48,1.46,22,0.5329,59.15346695,20210602,107,1.68,1.57,1.625,20,0.66015625,73.9705989,destructive harvest,43,14.81713195,14.81713195,0.344584464
2,8,drought,drought,20210420,128,1.11,1.11,1.11,17,0.308025,41.28806729,20210608,130,1.18,1.17,1.175,17,0.34515625,46.98808137,"Final measurement, not harvested",49,5.700014081,5.700014081,0.116326818
2,9,drought,drought,20210420,123,0.87,0.88,0.875,13,0.19140625,24.65413922,20210608,127,1.05,1.1,1.075,14,0.28890625,38.42282353,"Final measurement, not harvested",49,13.7686843,13.7686843,0.280993557
2,19,drought,drought,20210420,123,1.22,1.35,1.285,18,0.41280625,53.17163238,20210608,125,1.34,1.37,1.355,18,0.45900625,60.08377762,"Final measurement, not harvested",49,6.912145246,6.912145246,0.141064189
2,24,drought,drought,20210420,115,1.24,1.31,1.275,17,0.40640625,48.94257743,20210608,111,1.32,1.47,1.395,22,0.48650625,56.55096505,destructive harvest,49,7.608387628,7.608387628,0.155273217
2,30,drought,drought,20210420,117,1.04,1.17,1.105,27,0.30525625,37.40064091,20210608,114,1.2,1.37,1.285,25,0.41280625,49.28102513,"Final measurement, not harvested",49,11.88038422,11.88038422,0.242456821
2,38,drought,drought,20210420,116,1.1,1.08,1.09,16,0.297025,36.08108691,20210608,119,1,1.1,1.05,8,0.275625,34.34742518,"Final measurement, not harvested",49,-1.733661726,0,0
2,66,drought,drought,20210420,119,0.94,1.1,1.02,9,0.2601,32.41275388,20210608,122,1.41,1.37,1.39,26,0.483025,61.71035685,"Final measurement, not harvested",49,29.29760297,29.29760297,0.597910265
2,74,drought,drought,20210420,121,1.33,1.38,1.355,28,0.45900625,58.16109674,20210608,121,1.4,1.44,1.42,29,0.5041,63.87496655,"Final measurement, not harvested",49,5.713869813,5.713869813,0.116609588
2,76,drought,drought,20210420,119,1,0.9,0.95,23,0.225625,28.11659975,20210608,118,1.13,1.13,1.13,22,0.319225,39.44641332,"Final measurement, not harvested",49,11.32981357,11.32981357,0.231220685
2,79,drought,drought,20210420,121,1.6,1.36,1.48,23,0.5476,69.38689086,20210608,122,1.48,1.41,1.445,25,0.52200625,66.69052734,"Final measurement, not harvested",49,-2.696363525,0,0
2,83,drought,drought,20210420,122.5,1.11,1.11,1.11,22,0.308025,39.51397065,20210608,124,1.4,1.41,1.405,22,0.49350625,64.08301853,"Final measurement, not harvested",49,24.56904788,24.56904788,0.50140914
2,108,drought,drought,20210420,126,1.22,1.29,1.255,24,0.39375625,51.95491318,20210608,125,1.43,1.39,1.41,23,0.497025,65.06042036,"Final measurement, not harvested",49,13.10550718,13.10550718,0.26745933
2,116,drought,drought,20210420,111,1.09,1.11,1.1,21,0.3025,35.16227578,20210608,111,1.19,1.19,1.19,20,0.354025,41.15148655,destructive harvest,49,5.989210775,5.989210775,0.122228791
2,4,drought_test,drought,20210420,123,0.95,0.96,0.955,18,0.22800625,29.36841316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,29,drought_test,drought,20210420,124,1.31,1.28,1.295,29,0.41925625,54.44147067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,62,drought_test,drought,20210420,123,1.17,1.28,1.225,17,0.37515625,48.32211288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,94,drought,drought,20210420,126,1.21,1.3,1.255,20,0.39375625,51.95491318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
