plant_ID,date,weight_kg,timing,water_plate,OBS_weight
111,20210513,7.0995,before watering,presumably no,nothing
112,20210513,6.676,before watering,presumably no,nothing
126,20210513,5.911,before watering,presumably no,nothing
127,20210513,5.9945,before watering,presumably no,nothing
128,20210513,6.1815,before watering,presumably no,nothing
129,20210513,6.229,before watering,presumably no,nothing
130,20210513,5.859,before watering,presumably no,nothing
20,20210513,6.2475,before watering,presumably no,nothing
31,20210513,6.2295,before watering,presumably no,nothing
42,20210513,6.316,before watering,presumably no,nothing
64,20210513,6.4915,before watering,presumably no,nothing
80,20210513,7.0685,before watering,presumably no,nothing
121,20210513,5.926,before watering,presumably no,nothing
123,20210513,6.267,before watering,presumably no,nothing
6,20210513,7.202,after watering,presumably no,nothing
14,20210513,6.8345,after watering,presumably no,nothing
25,20210513,6.881,after watering,presumably no,nothing
35,20210513,6.6945,after watering,presumably no,nothing
46,20210513,6.707,after watering,presumably no,nothing
50,20210513,6.9165,after watering,presumably no,nothing
54,20210513,6.525,after watering,presumably no,nothing
61,20210513,6.795,after watering,presumably no,nothing
68,20210513,6.808,after watering,presumably no,nothing
69,20210513,7.479,after watering,presumably no,nothing
89,20210513,6.8605,after watering,presumably no,nothing
101,20210513,7.1995,after watering,presumably no,nothing
104,20210513,7.4745,after watering,presumably no,nothing
111,20210513,7.224,after watering,presumably no,nothing
112,20210513,6.9205,after watering,presumably no,nothing
126,20210513,6.087,after watering,presumably no,nothing
127,20210513,6.1235,after watering,presumably no,nothing
128,20210513,6.2765,after watering,presumably no,nothing
129,20210513,6.3685,after watering,presumably no,nothing
130,20210513,5.9615,after watering,presumably no,nothing
20,20210513,6.9215,after watering,presumably no,nothing
31,20210513,6.587,after watering,presumably no,nothing
42,20210513,6.6435,after watering,presumably no,nothing
64,20210513,6.8345,after watering,presumably no,nothing
80,20210513,7.24,after watering,presumably no,nothing
121,20210513,6.0895,after watering,presumably no,nothing
125,20210513,6.457,after watering,presumably no,nothing
6,20210517,7.0555,before watering,presumably no,nothing
14,20210517,6.4665,before watering,presumably no,nothing
25,20210517,6.32,before watering,presumably no,nothing
35,20210517,6.5375,before watering,presumably no,nothing
46,20210517,6.555,before watering,presumably no,nothing
50,20210517,6.5675,before watering,presumably no,nothing
54,20210517,6.031,before watering,presumably no,nothing
61,20210517,6.5565,before watering,presumably no,nothing
68,20210517,6.6185,before watering,presumably no,nothing
69,20210517,7.2565,before watering,presumably no,nothing
89,20210517,7.391,before watering,presumably no,nothing
101,20210517,6.896,before watering,presumably no,nothing
104,20210517,7.1795,before watering,presumably no,nothing
111,20210517,7.111,before watering,presumably no,nothing
112,20210517,6.7745,before watering,presumably no,nothing
126,20210517,5.9205,before watering,presumably no,nothing
127,20210517,5.9485,before watering,presumably no,nothing
128,20210517,6.1045,before watering,presumably no,nothing
129,20210517,6.201,before watering,presumably no,nothing
130,20210517,5.82,before watering,presumably no,nothing
3,20210517,6.676,before watering,presumably no,nothing
20,20210517,6.323,before watering,presumably no,nothing
23,20210517,6.279,before watering,presumably no,nothing
24,20210517,7.075,before watering,presumably no,nothing
28,20210517,5.751,before watering,presumably no,nothing
31,20210517,6.057,before watering,presumably no,nothing
33,20210517,5.6115,before watering,presumably no,nothing
41,20210517,6.3415,before watering,presumably no,nothing
42,20210517,6.1615,before watering,presumably no,nothing
64,20210517,6.41,before watering,presumably no,nothing
75,20210517,6.5605,before watering,presumably no,nothing
77,20210517,7.479,before watering,presumably no,nothing
80,20210517,7.031,before watering,presumably no,nothing
107,20210517,6.8935,before watering,presumably no,nothing
116,20210517,6.667,before watering,presumably no,nothing
121,20210517,5.9515,before watering,presumably no,nothing
122,20210517,5.468,before watering,presumably no,nothing
123,20210517,6.313,before watering,presumably no,nothing
124,20210517,6.6275,before watering,presumably no,nothing
125,20210517,6.268,before watering,presumably no,nothing
54,20210517,6.403,after watering,presumably no,nothing
61,20210517,6.833,after watering,presumably no,nothing
68,20210517,6.8285,after watering,presumably no,nothing
89,20210517,7.568,after watering,presumably no,nothing
111,20210517,7.243,after watering,presumably no,nothing
127,20210517,6.144,after watering,presumably no,nothing
130,20210517,5.991,after watering,presumably no,nothing
1,20210517,6.633,after watering,presumably no,nothing
20,20210517,6.683,after watering,presumably no,nothing
31,20210517,6.4375,after watering,presumably no,nothing
42,20210517,6.545,after watering,presumably no,nothing
64,20210517,6.767,after watering,presumably no,nothing
80,20210517,7.2585,after watering,presumably no,nothing
121,20210517,6.165,after watering,presumably no,nothing
123,20210517,6.6005,after watering,presumably no,Se riega sin querer :(
125,20210517,6.5525,after watering,presumably no,nothing
6,20210520,6.873,before watering,presumably no,nothing
14,20210520,6.0665,before watering,presumably no,nothing
25,20210520,5.881,before watering,presumably no,nothing
35,20210520,6.257,before watering,presumably no,nothing
46,20210520,6.3925,before watering,presumably no,nothing
50,20210520,6.183,before watering,presumably no,nothing
54,20210520,5.93,before watering,presumably no,nothing
61,20210520,6.5795,before watering,presumably no,nothing
69,20210520,6.947,before watering,presumably no,nothing
89,20210520,7.3935,before watering,presumably no,nothing
101,20210520,6.6045,before watering,presumably no,nothing
111,20210520,7.1605,before watering,presumably no,nothing
112,20210520,6.519,before watering,presumably no,nothing
126,20210520,5.818,before watering,presumably no,nothing
127,20210520,6.095,before watering,presumably no,nothing
128,20210520,5.984,before watering,presumably no,nothing
129,20210520,6.0615,before watering,presumably no,nothing
130,20210520,5.938,before watering,presumably no,nothing
3,20210520,6.436,before watering,presumably no,nothing
20,20210520,6.1855,before watering,presumably no,nothing
23,20210520,5.914,before watering,presumably no,nothing
24,20210520,6.763,before watering,presumably no,nothing
28,20210520,5.442,before watering,presumably no,nothing
31,20210520,6.055,before watering,presumably no,nothing
33,20210520,5.247,before watering,presumably no,nothing
41,20210520,6.092,before watering,presumably no,nothing
42,20210520,6.188,before watering,presumably no,nothing
64,20210520,6.3005,before watering,presumably no,nothing
75,20210520,6.272,before watering,presumably no,nothing
77,20210520,7.2105,before watering,presumably no,nothing
80,20210520,7.017,before watering,presumably no,nothing
107,20210520,6.5765,before watering,presumably no,nothing
116,20210520,6.3965,before watering,presumably no,nothing
121,20210520,6.1175,before watering,presumably no,nothing
122,20210520,5.3725,before watering,presumably no,nothing
123,20210520,6.522,before watering,presumably no,nothing
124,20210520,6.4275,before watering,presumably no,nothing
125,20210520,6.424,before watering,presumably no,nothing
127,20210520,6.2905,after watering,presumably no,nothing
89,20210520,6.554,after watering,presumably no,nothing
68,20210520,6.575,after watering,presumably no,nothing
61,20210520,6.4415,after watering,presumably no,nothing
111,20210520,7.301,after watering,presumably no,nothing
54,20210520,6.3125,after watering,presumably no,nothing
130,20210520,6.062,after watering,presumably no,nothing
121,20210520,6.2905,after watering,presumably no,nothing
20,20210520,6.554,after watering,presumably no,nothing
42,20210520,6.575,after watering,presumably no,nothing
31,20210520,6.4415,after watering,presumably no,nothing
80,20210520,7.3145,after watering,presumably no,nothing
64,20210520,6.68,after watering,presumably no,nothing
125,20210520,6.6475,after watering,presumably no,nothing
6,20210524,6.687,before watering,presumably no,nothing
14,20210524,5.669,before watering,presumably no,nothing
25,20210524,5.656,before watering,presumably no,nothing
35,20210524,5.934,before watering,presumably no,nothing
46,20210524,6.179,before watering,presumably no,nothing
50,20210524,5.7945,before watering,presumably no,nothing
54,20210524,5.86,before watering,presumably no,nothing
61,20210524,6.543,before watering,presumably no,nothing
68,20210524,6.6055,before watering,presumably no,nothing
69,20210524,6.63,before watering,presumably no,nothing
89,20210524,7.147,before watering,presumably no,nothing
101,20210524,6.2845,before watering,presumably no,nothing
104,20210524,6.5315,before watering,presumably no,nothing
111,20210524,7.0935,before watering,presumably no,nothing
112,20210524,6.2325,before watering,presumably no,nothing
126,20210524,5.707,before watering,presumably no,nothing
127,20210524,6.0605,before watering,presumably no,nothing
128,20210524,5.8775,before watering,presumably no,nothing
129,20210524,5.942,before watering,presumably no,nothing
130,20210524,5.904,before watering,presumably no,nothing
3,20210524,6.18,before watering,presumably no,nothing
20,20210524,6.065,before watering,presumably no,nothing
23,20210524,5.653,before watering,presumably no,nothing
24,20210524,6.449,before watering,presumably no,nothing
28,20210524,5.2475,before watering,presumably no,nothing
31,20210524,5.852,before watering,presumably no,nothing
33,20210524,4.9949,before watering,presumably no,nothing
41,20210524,5.774,before watering,presumably no,nothing
42,20210524,6.099,before watering,presumably no,nothing
64,20210524,6.24,before watering,presumably no,nothing
75,20210524,6.0045,before watering,presumably no,nothing
77,20210524,6.886,before watering,presumably no,nothing
80,20210524,6.9535,before watering,presumably no,nothing
107,20210524,6.3165,before watering,presumably no,nothing
116,20210524,6.054,before watering,presumably no,nothing
121,20210524,6.1675,before watering,presumably no,nothing
122,20210524,5.269,before watering,presumably no,nothing
123,20210524,6.39,before watering,presumably no,nothing
124,20210524,6.2775,before watering,presumably no,nothing
125,20210524,6.5435,before watering,presumably no,nothing
54,20210524,6.2105,after watering,presumably no,nothing
61,20210524,6.8325,after watering,presumably no,nothing
68,20210524,6.838,after watering,presumably no,nothing
89,20210524,7.459,after watering,presumably no,nothing
111,20210524,7.2425,after watering,presumably no,nothing
127,20210524,6.182,after watering,presumably no,nothing
130,20210524,6.022,after watering,presumably no,nothing
20,20210524,6.402,after watering,presumably no,nothing
31,20210524,6.212,after watering,presumably no,nothing
42,20210524,6.473,after watering,presumably no,nothing
64,20210524,6.6025,after watering,presumably no,nothing
80,20210524,7.236,after watering,presumably no,nothing
121,20210524,6.271,after watering,presumably no,nothing
125,20210524,6.658,after watering,presumably no,nothing
6,20210527,999,before watering,presumably no,nothing
14,20210527,5.487,before watering,presumably no,nothing
25,20210527,5.5345,before watering,presumably no,nothing
35,20210527,999,before watering,presumably no,nothing
46,20210527,5.9785,before watering,presumably no,nothing
50,20210527,999,before watering,presumably no,nothing
54,20210527,5.731,before watering,presumably no,nothing
61,20210527,6.5165,before watering,presumably no,nothing
68,20210527,6.481,before watering,presumably no,nothing
69,20210527,999,before watering,presumably no,nothing
89,20210527,7.22,before watering,presumably no,nothing
101,20210527,5.9215,before watering,presumably no,nothing
104,20210527,999,before watering,presumably no,nothing
111,20210527,7.043,before watering,presumably no,nothing
112,20210527,5.9535,before watering,presumably no,nothing
126,20210527,5.5785,before watering,presumably no,nothing
127,20210527,6.068,before watering,presumably no,nothing
128,20210527,5.7575,before watering,presumably no,nothing
129,20210527,5.8605,before watering,presumably no,nothing
130,20210527,5.855,before watering,presumably no,nothing
3,20210527,6.2145,before watering,presumably no,nothing
20,20210527,5.8525,before watering,presumably no,nothing
23,20210527,999,before watering,presumably no,nothing
24,20210527,999,before watering,presumably no,nothing
28,20210527,5.136,before watering,presumably no,nothing
31,20210527,5.831,before watering,presumably no,nothing
33,20210527,999,before watering,presumably no,nothing
41,20210527,999,before watering,presumably no,nothing
42,20210527,6.049,before watering,presumably no,nothing
64,20210527,6.1565,before watering,presumably no,nothing
75,20210527,999,before watering,presumably no,nothing
77,20210527,6.65,before watering,presumably no,nothing
80,20210527,6.9515,before watering,presumably no,nothing
107,20210527,6.0305,before watering,presumably no,nothing
116,20210527,5.834,before watering,presumably no,nothing
121,20210527,6.158,before watering,presumably no,nothing
122,20210527,5.2065,before watering,presumably no,nothing
123,20210527,6.3155,before watering,presumably no,nothing
124,20210527,6.184,before watering,presumably no,nothing
125,20210527,6.584,before watering,presumably no,nothing
127,20210527,6.236,after watering,presumably no,nothing
89,20210527,7.5325,after watering,presumably no,nothing
68,20210527,6.8575,after watering,presumably no,nothing
61,20210527,6.868,after watering,presumably no,nothing
111,20210527,7.2725,after watering,presumably no,nothing
54,20210527,6.117,after watering,presumably no,nothing
130,20210527,6.051,after watering,presumably no,nothing
121,20210527,6.322,after watering,presumably no,nothing
20,20210527,6.232,after watering,presumably no,nothing
42,20210527,6.4265,after watering,presumably no,nothing
31,20210527,6.202,after watering,presumably no,nothing
80,20210527,7.2635,after watering,presumably no,nothing
64,20210527,6.5445,after watering,presumably no,nothing
125,20210527,6.7335,after watering,presumably no,nothing
6,20210531,999,before watering,presumably no,nothing
14,20210531,5.3615,before watering,presumably no,nothing
25,20210531,5.444,before watering,presumably no,nothing
35,20210531,999,before watering,presumably no,nothing
46,20210531,5.7815,before watering,presumably no,nothing
50,20210531,999,before watering,presumably no,nothing
54,20210531,5.6395,before watering,presumably no,nothing
61,20210531,6.4895,before watering,presumably no,nothing
68,20210531,6.394,before watering,presumably no,nothing
69,20210531,999,before watering,presumably no,nothing
89,20210531,7.2295,before watering,presumably no,nothing
101,20210531,5.706,before watering,presumably no,nothing
104,20210531,999,before watering,presumably no,nothing
111,20210531,7.09,before watering,presumably no,nothing
112,20210531,5.733,before watering,presumably no,nothing
126,20210531,5.4595,before watering,presumably no,nothing
127,20210531,6.118,before watering,presumably no,nothing
128,20210531,5.6195,before watering,presumably no,nothing
129,20210531,5.7605,before watering,presumably no,nothing
130,20210531,5.9375,before watering,presumably no,nothing
3,20210531,999,before watering,presumably no,nothing
20,20210531,5.736,before watering,presumably no,nothing
23,20210531,999,before watering,presumably no,nothing
24,20210531,6.0405,before watering,presumably no,nothing
28,20210531,5.04,before watering,presumably no,nothing
31,20210531,5.7295,before watering,presumably no,nothing
33,20210531,999,before watering,presumably no,nothing
41,20210531,999,before watering,presumably no,nothing
42,20210531,5.924,before watering,presumably no,nothing
64,20210531,6.043,before watering,presumably no,nothing
75,20210531,999,before watering,presumably no,nothing
77,20210531,6.4375,before watering,presumably no,nothing
80,20210531,6.913,before watering,presumably no,nothing
107,20210531,5.7855,before watering,presumably no,nothing
116,20210531,5.617,before watering,presumably no,nothing
121,20210531,6.2055,before watering,presumably no,nothing
122,20210531,5.1455,before watering,presumably no,nothing
123,20210531,6.2535,before watering,presumably no,nothing
124,20210531,6.1085,before watering,presumably no,nothing
125,20210531,6.5975,before watering,presumably no,nothing
127,20210531,6.2105,after watering,presumably no,nothing
89,20210531,7.5175,after watering,presumably no,nothing
68,20210531,6.7765,after watering,presumably no,nothing
61,20210531,6.8355,after watering,presumably no,nothing
111,20210531,7.241,after watering,presumably no,nothing
54,20210531,6.011,after watering,presumably no,nothing
130,20210531,6.048,after watering,presumably no,nothing
121,20210531,6.3075,after watering,presumably no,nothing
20,20210531,6.1085,after watering,presumably no,nothing
