ID_plant,sampling_date,long_Shist,diam_Shist,long_Sphl,diam_Sphl,TW_plant_kg,FW_Sphl,FW_SNSC,FW_Shist,FW_L1phl,FW_L2phl,FW_L3phl,FW_10LNSC,FW_10LSLA,FW_rootNSC,FW_S,FW_L,FW_root,FW_ss_soil,FW_soil_pot_kg,SW_L1phl,SW_L2phl,SW_L3phl,DW_L1phl,DW_L2phl,DW_L3phl,DW_10LSLA,DW_S,DW_L,DW_root,DW_ss_soil,DW_soil,W_pot,OBS
51,20210608,9999,9999,8.53,1.54,4.736,18.3629,8.0477,9999,0.1473,0.1117,0.1081,0.7762,1.0301,6.0308,91.06,33.39,9999,135.03,9999,0.1526,0.1156,0.1115,0.0699,0.0533,0.0525,0.4882,47.34,15.45,9999,118.16,9999.0000,9999,nothing
52,20210520,1.33,1.29,8.42,1.07,6.032,9.251,4.6767,1.9373,0.1236,0.1515,0.1903,1.11685,1.2481,3.5683,58.47,24.56,9999,268.41,9999,0.1335,0.1637,0.2036,0.0609,0.0738,0.0925,0.6066,25.75,8.71,9999,181.66,9999.0000,9999,nothing
54,20210610,1.47,1.32,9.37,1.43,5.9665,20.4617,6.2166,2.0958,0.1691,0.2449,0.1744,1.3534,1.1344,3.738,88.02,32.95,151.65,9999,5.563,0.1703,0.247,0.1762,0.0876,0.1244,0.0901,0.5731,41.44,14.33,52.36,9999,4004.9,236.78,nothing
56,20210518,1.7,1.18,9.47,1.21,5.7125,14.4765,4.5261,1.9687,0.1295,0.1133,0.0838,0.9716,0.9649,5.7547,64.85,28.33,9999,251.84,9999,0.1338,0.1178,0.0886,0.0575,0.0492,0.0378,0.4431,31.72,12.12,9999,175.91,9999.0000,9999,nothing
57,20210526,9999,9999,8.95,1.36,4.985,15.0013,4.6829,9999,0.1123,0.1144,0.1274,0.818,0.714,3.1505,60.7,18.74,9999,217.64,9999,0.1187,0.1207,0.1377,0.0526,0.0531,0.0593,0.342,29.53,8.23,9999,187.52,9999.0000,9999,nothing
58,20210609,9999,9999,8.06,1.4,5.0355,13.8902,5.8067,9999,0.1219,0.1043,0.1281,0.9087,0.8767,3.184,67.7,18.91,9999,130.75,9999,0.1266,0.1047,0.1288,0.0612,0.0504,0.0624,0.4248,32.26,8.96,9999,109.7,9999.0000,9999,nothing
61,20210610,1.37,1.4,10.32,1.53,6.6605,21.1543,6.7284,2.0769,0.1819,0.2241,0.1403,1.0823,1.4241,4.2622,85.6,21.02,111.27,9999,6.2955,0.1846,0.2251,0.1418,0.0859,0.1069,0.066,0.6458,42.09,10.07,40.66,9999,4019.86,241.8,nothing
63,20210504,9999.0000,9999.0000,9999.0000,9999.0000,5.7450,14.2640,3.0555,9999.0000,0.1778,0.1204,0.2507,1.7763,1.5328,9999.0000,87.3900,47.1200,128.8800,204.3300,9999,0.1840,0.1230,0.2579,0.0764,0.0518,0.1081,0.6278,28.9800,14.5100,40.2200,154.2000,9999.0000,9999.0000,nothing
64,20210607,1.09,1.17,6.91,1.3,6.2525,9.972,3.5625,1.1951,0.1799,0.1524,0.1703,0.8387,1.4415,5.6625,64.87,27.1,113.85,9999,5.94,0.181,0.1542,0.1722,0.0842,0.0707,0.0775,0.7183,32.29,12.7,38.41,9999,4548.53,250.63,nothing
65,20210525,9999,9999,8.52,1.26,6.1193,8.2372,2.4562,9999,0.1241,0.1277,0.1146,1.0413,0.8823,4.8111,49.13,15.12,9999,301.78,9999,0.1271,0.13,0.1163,0.0541,0.0573,0.0517,0.23,21.91,6.37,9999,213.78,9999.0000,9999,nothing
67,20210505,9999.0000,9999.0000,9999.0000,9999.0000,6.561,11.1776,2.3648,9999.0000,0.1481,0.139,0.1201,1.2003,0.814,9999.0000,50.35,24.05,84.67,247.13,9999,0.1565,0.1534,0.1268,0.0681,0.0639,0.055,0.365,23.38,10.36,24.7,178.26,9999.0000,9999,nothing
68,20210601,9999,9999,9.96,1.33,6.678,15.8778,3.546,9999,0.1359,0.1443,0.1039,0.6625,1.1495,6.3487,70.65,20.13,67.83,9999,6.255,0.1375,0.1458,0.1055,0.0685,0.0723,0.05,0.5774,35.45,9.93,20.68,9999,3944.31,254.26,nothing
69,20210527,9999,9999,11.23,1.24,6.3515,15.4806,3.2945,9999,0.1273,0.1076,0.0826,0.7254,0.968,3.6717,65.58,14.86,91.71,9999,6.1145,0.1289,0.1092,0.0838,0.0629,0.054,0.041,0.4996,32.68,7.28,27.66,9999,5007.76,247.87,DW_L1phl fue pesado tras haber pasado 3 días metida en el sobre en el fitotrón (perdida) y 24 horas en la estufa
70,20210518,1.38,1.12,10.73,0.98,6.995,9.8185,2.3133,1.4707,0.1368,0.1463,0.12,1.1315,1.204,3.4264,41.45,13.07,9999,221.2,9999,0.1437,0.1499,0.1237,0.0627,0.0683,0.0566,0.5643,18.49,5.84,9999,167.23,9999.0000,9999,nothing
72,20210505,9999.0000,9999.0000,9999.0000,9999.0000,6.3985,7.5821,2.2578,9999.0000,0.1439,0.1217,0.1338,1.0133,1.1624,9999.0000,35.33,13.97,50.91,197.94,9999,0.1563,0.131,0.1422,0.0654,0.057,0.0626,0.554,16.37,6.32,15.23,138.32,9999.0000,255.21,nothing
75,20210527,9999,9999,7.85,1.21,5.8955,9.5272,1.6106,9999,9999,9999,9999,9999,0.8964,9999,45.88,13.68,58.89,9999,5.7525,9999,9999,9999,9999,9999,9999,0.4442,23.99,6.79,23.31,9999,4803.4,244.74,Subset de pesada del día 27/05
77,20210602,9999,9999,6.68,1.15,6.3325,7.5243,4.4583,9999,0.094,0.0954,0.061,0.8544,0.7139,4.1041,37.55,10.13,63.35,9999,6.186,0.097,0.0969,0.0642,0.0463,0.0472,0.0294,0.3462,18.51,4.24,21.05,9999,5043.64,256.15,nothing
80,20210607,1.06,1.46,8.91,1.13,7.1995,11.1153,3.4344,1.8799,0.0965,0.1044,0.0954,0.7569,0.9293,5.2951,56.42,13.47,56.85,9999,6.9895,0.0983,0.1079,0.0966,0.0407,0.047,0.0429,0.4541,28.91,6.12,19.22,9999,4686.94,260.27,nothing
81,20210608,9999,9999,9.75,1.26,6.2125,13.7837,3.667,9999,0.138,0.1238,0.1036,0.9507,1.042,3.8864,64.61,18.67,9999,252.11,9999,0.1404,0.1281,0.1071,0.0699,0.0593,0.0499,0.4885,30.18,8.72,9999,204.16,9999.0000,9999,nothing
84,20210504,9999.0000,9999.0000,9999.0000,9999.0000,6.5900,6.2517,2.0945,9999.0000,0.2493,0.1936,0.1247,1.0804,0.9690,9999.0000,51.7800,25.3300,77.3600,388.0800,9999,0.2274,0.2001,0.1288,0.1104,0.0847,0.0552,0.4268,19.1600,6.0100,20.8400,268.1100,9999.0000,9999.0000,nothing
85,20210520,1.41,1.25,8.23,1.32,5.966,12.9612,5.1366,2.1084,0.1588,0.1505,0.1586,1.0567,0.926,5.951,76.58,21.8,9999,266.33,9999,0.1716,0.1637,0.162,0.0773,0.0724,0.0773,0.4411,38.56,10.15,9999,206.06,9999.0000,9999,SW_L3phl: no se lee bien el número escrito en el estadillo
86,20210525,9999,9999,8.7,1.22,6.3775,12.5491,3.1248,9999,0.2578,0.208,0.2233,1.6683,1.353,5.3121,58.03,21.63,9999,250.44,9999,0.2641,0.2128,0.228,0.1115,0.0897,0.0927,0.42,27.2,8.72,9999,183.9,9999.0000,9999,nothing
87,20210505,9999.0000,9999.0000,9999.0000,9999.0000,6.8825,12.5049,5.9951,9999.0000,0.1942,0.1807,0.1853,1.5975,0.9603,9999.0000,72.95,26.86,123.12,238.3,9999,0.2217,0.2075,0.2025,0.0889,0.0839,0.0841,0.4445,37.25,11.85,42.16,174.61,9999.0000,9999,nothing
88,20210525,9999,9999,6.41,1.17,6.9355,9.0853,4.3255,9999,0.1092,0.1225,0.0953,0.6359,0.9057,5.4505,56.47,22.59,9999,323.67,9999,0.1122,0.1265,0.0978,0.0507,0.0581,0.0452,0.3594,30.4,10.54,9999,227.69,9999.0000,9999,nothing
89,20210610,1.54,1.07,9.53,1.33,7.531,13.2088,4.5381,1.5866,0.1387,0.0831,0.096,1.0391,1.0478,4.7099,56.13,19.58,71.94,9999,7.1345,0.1402,0.0843,0.0976,0.0702,0.0421,0.0478,0.5599,27.94,10.5,22.73,9999,4738.09,254.94,El día del muestreo destructivo tenía agua en el plato
92,20210519,1.28,1.02,7.94,1.14,6.905,9.0732,2.3056,1.1432,0.1194,0.1076,0.1014,1.0414,0.9951,3.0975,54.73,17.33,9999,236.55,9999,0.1256,0.1111,0.1059,0.0563,0.0414,0.0465,0.4591,24.49,7.97,9999,188.67,9999.0000,9999,nothing
93,20210609,9999,9999,9.55,1.54,6.556,20.3642,7.5142,9999,0.2212,0.161,0.0844,1.0135,0.987,4.9543,73.77,19.24,9999,183,9999,0.2232,0.1625,0.0844,0.11,0.0799,0.0421,0.4972,36.88,9.69,9999,141.95,9999.0000,9999,nothing
95,20210504,9999.0000,9999.0000,9999.0000,9999.0000,6.8641,12.1932,1.5425,9999.0000,0.1382,0.1079,0.0835,1.1614,1.1330,9999.0000,61.1900,36.0200,100.7000,150.0600,9999,0.1395,0.1092,0.0846,0.0582,0.0451,0.0359,0.4680,23.1100,9.7000,29.3800,118.9400,9999.0000,9999.0000,nothing
96,20210525,9999,9999,8.32,1.17,6.5875,10.8114,5.2756,9999,0.2329,0.2026,0.2073,1.1026,1.2789,9.9343,60.44,19.46,9999,249.98,9999,0.2385,0.206,0.2107,0.1048,0.0938,0.0973,0.5423,27.83,9.01,9999,181.18,9999.0000,9999,nothing
97,20210526,9999,9999,10.47,0.97,6.0865,8.5713,2.4707,9999,0.11,0.1336,0.1195,1.0031,0.83,3.9581,41.5,15.55,9999,262.12,9999,0.1121,0.137,0.1245,0.0507,0.06,0.054,0.4687,20.13,6.79,9999,216.61,9999.0000,9999,nothing
98,20210519,0.99,1.28,8.8,1.3,6.185,13.1062,3.8695,1.0427,0.1231,0.1224,0.1007,0.9021,0.6626,3.1048,74.6,22.66,9999,239.99,9999,0.128,0.1244,0.1046,0.0553,0.0529,0.0451,0.2897,36.08,9.74,9999,189.04,9999.0000,9999,nothing
99,20210526,9999,9999,7.99,1.19,5.807,9.7138,3.173,9999,0.1458,0.12,0.1296,0.7126,0.8121,3.9812,51.84,15.9,9999,313.13,9999,0.1498,0.1231,0.1336,0.0658,0.0538,0.0597,0.3722,25.47,6.69,9999,270.67,9999.0000,9999,nothing
100,20210526,9999,9999,9.9,1.2,5.5795,11.6036,3.9784,9999,0.0786,0.0874,0.065,0.4986,0.6071,5.243,50.82,18.42,9999,303.27,9999,0.0845,0.0937,0.0671,0.0374,0.0426,0.0286,0.285,25.18,8.5,9999,261.92,9999.0000,9999,nothing
101,20210603,9999,9999,9.48,1.23,5.61,11.6251,5.257,9999,0.1859,0.166,0.1332,0.9942,1.1431,4.423,59.04,14.35,87.37,9999,5.4205,0.1925,0.1725,0.1378,0.0881,0.0784,0.064,0.5695,30.83,7.09,27.49,9999,4582.73,241.23,nothing
