"ID_plant","phytotron","water_treatment","date","long_Shist","diam_Shist","long_Sphl","diam_Sphl","TW_plant_kg","FW_Sphl","FW_SNSC","FW_Shist","FW_L1phl","FW_L2phl","FW_L3phl","FW_10LNSC","FW_10LSLA","FW_rootNSC","FW_S","FW_L","FW_root","FW_ss_soil","FW_soil_pot_kg","SW_L1phl","SW_L2phl","SW_L3phl","DW_L1phl","DW_L2phl","DW_L3phl","DW_10LSLA","DW_S","DW_L","DW_root","DW_ss_soil","DW_soil","W_pot","OBS","height_cm","stem_width_1_cm","stem_width_2_cm","branching","initial_height_cm","initial_stem_width_1_cm","initial_stem_width_2_cm","initial_branching","area"
45,1,"drought",20210520,0.98,1.33,6.8,1.37,6.28,9.7522,4.2793,1.4114,0.1898,0.1303,0.175,1.2027,1.1048,NA,67.92,21.8,NA,198.7,NA,0.2,0.135,0.1846,0.0876,0.0608,0.0806,0.4718,32.11,9.33,NA,147,NA,NA,"nothing",116,1.63,"1.7",18,109,1.58,1.48,18,11035.051
46,1,"drought",20210609,1.68,1.2,10.75,0.82,5.342,7.289,3.6144,1.5707,0.1414,0.1089,0.1606,0.8192,0.7822,NA,28.27,8.62,35.11,NA,5.236,0.1432,0.1092,0.1621,0.0698,0.0536,0.0798,0.3607,13.58,3.89,11.51,NA,4035.15,241.24,"Muy poca área foliar",122,1.1,"1.1",18,117,0.99,1.01,0,7307.604
50,1,"drought",20210527,NA,NA,7.4,1.52,5.552,16.574,NA,NA,0.1249,0.1356,0.0939,1.0556,0.945,4.1919,92.86,25.61,121.03,NA,5.27,0.1278,0.1389,0.0969,0.0612,0.0634,0.0467,0.4824,46.07,12.39,39.25,NA,4252.81,235.77,"nothing",121,1.74,"1.87",23,123,1.75,1.58,23,9707.445
51,2,"moderate drought",20210608,NA,NA,8.53,1.54,4.736,18.3629,8.0477,NA,0.1473,0.1117,0.1081,0.7762,1.0301,6.0308,91.06,33.39,NA,135.03,NA,0.1526,0.1156,0.1115,0.0699,0.0533,0.0525,0.4882,47.34,15.45,NA,118.16,NA,NA,"nothing",119,1.9,"1.85",29,116,1.78,1.76,34,9860.214
52,1,"drought",20210520,1.33,1.29,8.42,1.07,6.032,9.251,4.6767,1.9373,0.1236,0.1515,0.1903,1.11685,1.2481,3.5683,58.47,24.56,NA,268.41,NA,0.1335,0.1637,0.2036,0.0609,0.0738,0.0925,0.6066,25.75,8.71,NA,181.66,NA,NA,"nothing",123,1.42,"1.32",24,121.5,1.17,1.3,26,12126.325
54,1,"control",20210610,1.47,1.32,9.37,1.43,5.9665,20.4617,6.2166,2.0958,0.1691,0.2449,0.1744,1.3534,1.1344,3.738,88.02,32.95,151.65,NA,5.563,0.1703,0.247,0.1762,0.0876,0.1244,0.0901,0.5731,41.44,14.33,52.36,NA,4004.9,236.78,"nothing",112,1.69,"1.73",22,109,1.5,1.4,21,10379.017
56,2,"control",20210518,1.7,1.18,9.47,1.21,5.7125,14.4765,4.5261,1.9687,0.1295,0.1133,0.0838,0.9716,0.9649,5.7547,64.85,28.33,NA,251.84,NA,0.1338,0.1178,0.0886,0.0575,0.0492,0.0378,11.93,31.72,12.12,NA,175.91,NA,NA,"nothing",121,1.48,"1.54",23,123,1.45,1.36,28,9699.795
57,2,"drought",20210526,NA,NA,8.95,1.36,4.985,15.0013,4.6829,NA,0.1123,0.1144,0.1274,0.818,0.714,3.1505,60.7,18.74,NA,217.64,NA,0.1187,0.1207,0.1377,0.0526,0.0531,0.0593,0.342,29.53,8.23,NA,187.52,NA,NA,"nothing",112,1.64,"1.67",15,114,1.53,1.12,18,8581.36
58,1,"moderate drought",20210609,NA,NA,8.06,1.4,5.0355,13.8902,5.8067,NA,0.1219,0.1043,0.1281,0.9087,0.8767,3.184,67.7,18.91,NA,130.75,NA,0.1266,0.1047,0.1288,0.0612,0.0504,0.0624,0.4248,32.26,8.96,NA,109.7,NA,NA,"nothing",125,1.56,"1.48",21,125,1.15,1.18,14,10781.32
61,1,"control",20210610,1.37,1.4,10.32,1.53,6.6605,21.1543,6.7284,2.0769,0.1819,0.2241,0.1403,1.0823,1.4241,4.2622,85.6,21.02,111.27,NA,6.2955,0.1846,0.2251,0.1418,0.0859,0.1069,0.066,0.6458,42.09,10.07,40.66,NA,4019.86,241.8,"nothing",119,1.69,"1.73",22,119.5,1.46,1.45,21,429316.081
63,2,"initial_state",20210504,NA,NA,NA,NA,5.745,14.264,3.0555,NA,0.1778,0.1204,0.2507,1.7763,1.5328,NA,87.39,47.12,128.88,204.33,NA,0.184,0.123,0.2579,0.0764,0.0518,0.1081,0.6278,28.98,14.51,40.22,154.2,NA,NA,"nothing",142,1.77,"1.85",24,137,1.97,1.86,24,13927.879
