ID,Vol extraccion,Peso,Vol libres,Vol sacarosa,Libres 01,rep_L01,Libres 02,rep_L02,Libres 03,rep_L03,Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Glucosa libre 02-01,Glucosa libre_rep 02-01,Fructosa_libre 03-02,Fructosa_libre_rep 03-02,Sac 02-01,Sac_rep_02-01,unknow1,unknow2,unknow3,unknow4,Promedio,Desv std,raiz,unknow5
67,500,5.1,60,20,1.165666667,1.214,1.478166667,1.4215,1.733,1.484833333,0.521833333,0.509833333,1.1385,0.914,0.3125,0.2075,0.254833333,0.063333333,NA,NA,#DIV/0!,0.26,0.086666667,NA,NA,NA,NA,NA
68,500,5.5,60,20,1.264,1.328333333,1.339166667,1.340833333,1.376833333,1.378833333,0.568,0.560833333,1.001166667,0.9265,0.075166667,0.0125,0.037666667,0.038,0.433166667,0.365666667,0.399416667,0.043833333,0.014611111,0.384805556,NA,NA,NA,NA
69,500,5.8,60,20,1.070166667,1.077833333,1.164166667,1.1335,1.221666667,1.125333333,0.531166667,0.505166667,1.216333333,1.148666667,0.094,0.055666667,0.0575,-0.008166667,0.685166667,0.6435,0.664333333,0.074833333,0.024944444,0.639388889,0.633083333,0.008917402,2.236067977,0.003987983
70,500,5.6,60,20,1.063833333,1.102333333,1.142333333,1.171333333,1.2355,1.258,0.474833333,0.504333333,1.074333333,0.734666667,0.0785,0.069,0.093166667,0.086666667,NA,NA,#DIV/0!,0.07375,0.024583333,NA,NA,NA,NA,NA
72,500,5.5,60,20,1.195,1.234,1.288833333,1.331333333,1.3885,1.314166667,0.5555,0.550666667,1.381,0.953,0.093833333,0.097333333,0.099666667,-0.017166667,NA,NA,#DIV/0!,0.095583333,0.031861111,NA,NA,NA,NA,NA
77,500,5,60,20,1.084,1.1225,1.105,1.147166667,1.1465,1.138,0.503666667,0.519,0.824833333,1.149166667,0.021,0.024666667,0.0415,-0.009166667,NA,NA,#DIV/0!,0.022833333,0.007611111,NA,NA,NA,NA,NA
80,500,5.2,60,20,0.984333333,0.975333333,1.179166667,1.147333333,1.293666667,1.1065,0.436166667,0.448666667,1.126,1.134666667,0.194833333,0.172,0.1145,-0.040833333,0.689833333,0.686,0.687916667,0.183416667,0.061138889,0.626777778,NA,NA,NA,NA
81,500,4.9,60,20,0.882666667,0.895833333,0.91,0.9235,0.952833333,0.934333333,0.422666667,0.412166667,1.164,1.1155,0.027333333,0.027666667,0.042833333,0.010833333,0.741333333,0.703333333,0.722333333,0.0275,0.009166667,0.713166667,NA,NA,NA,NA
84,500,5.1,60,20,1.236333333,1.264666667,1.464166667,1.496166667,1.6925,1.431166667,0.552333333,0.555,0.984833333,1.306166667,0.227833333,0.2315,0.228333333,-0.065,NA,NA,#DIV/0!,0.229666667,0.076555556,NA,NA,NA,NA,NA
85,500,5.4,60,20,1.352,1.359666667,1.382666667,1.3815,1.428,1.416833333,0.577666667,0.570333333,1.505,1.478166667,0.030666667,0.021833333,0.045333333,0.035333333,0.927333333,0.907833333,0.917583333,0.02625,0.00875,0.908833333,NA,NA,NA,NA
86,500,5.9,60,20,1.131833333,1.135333333,1.181,1.185,1.2215,1.192666667,0.513,0.501333333,1.219333333,1.167333333,0.049166667,0.049666667,0.0405,0.007666667,0.706333333,0.666,0.686166667,0.049416667,0.016472222,0.669694444,NA,NA,NA,NA
87,500,5.8,60,20,1.238166667,1.193,1.312333333,1.287666667,1.4115,1.263666667,0.548166667,0.528166667,0.9835,0.906666667,0.074166667,0.094666667,0.099166667,-0.024,0.435333333,0.3785,0.406916667,0.084416667,0.028138889,0.378777778,NA,NA,NA,NA
88,500,5.3,60,20,1.2695,1.2575,1.314166667,1.301833333,1.3535,1.307333333,0.546166667,0.533,1.256333333,0.857833333,0.044666667,0.044333333,0.039333333,0.0055,NA,NA,#DIV/0!,0.0445,0.014833333,NA,NA,NA,NA,NA
89,500,5.1,60,20,1.210166667,1.215666667,1.2505,1.249666667,1.304333333,1.294833333,0.550666667,0.547,0.976166667,0.912833333,0.040333333,0.034,0.053833333,0.045166667,0.4255,0.365833333,0.395666667,0.037166667,0.012388889,0.383277778,NA,NA,NA,NA
